text,intent
reserve a table for 7,reserve
no cancel,cancel
tell me your menu items,get_menu
reserve a table for 1,reserve
yes confirm,confirm
thanks bye,goodbye
no cancel,cancel
i need a table for 2 persons,reserve
no cancel,cancel
hi,greet
hi,greet
what time slots are available,get_slots
cancel,cancel
no cancel,cancel
book a table,reserve
good evening,greet
book it,confirm
good morning,greet
cancel reservation,cancel
never mind cancel,cancel
tell me your menu items,get_menu
show available timings,get_slots
book seat for 9 guests,reserve
good morning,greet
book seat for 7 guests,reserve
goodbye,goodbye
okay confirm booking,confirm
table booking for 3 people,reserve
reserve a table for 9,reserve
book a table,reserve
hey,greet
bye,goodbye
good morning,greet
available reservation times,get_slots
never mind cancel,cancel
when can i come,get_slots
okay confirm booking,confirm
hey,greet
good morning,greet
what time slots are available,get_slots
thanks bye,goodbye
stop booking,cancel
available reservation times,get_slots
table booking for 4 people,reserve
hi,greet
i want to reserve a table,reserve
give me food list,get_menu
what is on the menu,get_menu
do you have free slots,get_slots
i want to reserve a table,reserve
tell me your menu items,get_menu
good evening,greet
give me food list,get_menu
tell me your menu items,get_menu
what time slots are available,get_slots
give me food list,get_menu
never mind cancel,cancel
table booking for 4 people,reserve
hello,greet
give me food list,get_menu
what time slots are available,get_slots
yes finalize,confirm
cancel,cancel
confirm,confirm
show available timings,get_slots
hey,greet
stop booking,cancel
yes confirm,confirm
see you,goodbye
cancel,cancel
goodbye,goodbye
menu please,get_menu
i want dinner reservation for 10,reserve
show me the menu,get_menu
sure confirm it,confirm
do you have free slots,get_slots
bye,goodbye
see you,goodbye
sure confirm it,confirm
available reservation times,get_slots
yes confirm,confirm
bye,goodbye
when can i come,get_slots
give me food list,get_menu
menu please,get_menu
do you have free slots,get_slots
give me food list,get_menu
tell me available slots,get_slots
when can i come,get_slots
when can i come,get_slots
what dishes do you have,get_menu
book it,confirm
reserve a table for 8,reserve
exit,goodbye
good morning,greet
table booking for 1 people,reserve
see you,goodbye
tell me available slots,get_slots
show me the menu,get_menu
when can i come,get_slots
goodbye,goodbye
good evening,greet
table booking for 2 people,reserve
goodbye,goodbye
i want dinner reservation for 8,reserve
what is on the menu,get_menu
tell me your menu items,get_menu
hey,greet
good evening,greet
book a table,reserve
menu please,get_menu
never mind cancel,cancel
